service_id,route_id,trip_id,direction_id,trip_headsign,block_id,shape_id
SA,GREEN,SA_101482,0,JBS Parade Ground,SA_20301,GREEN1
SA,GREEN,SA_101483,1,Mahatma Gandhi Bus Station,SA_20301,GREEN2
SA,GREEN,SA_101484,0,JBS Parade Ground,SA_20101,GREEN1
SA,GREEN,SA_101485,1,Mahatma Gandhi Bus Station,SA_20101,GREEN2
SA,GREEN,SA_101486,0,JBS Parade Ground,SA_20201,GREEN1
SA,GREEN,SA_101487,1,Mahatma Gandhi Bus Station,SA_20201,GREEN2
SA,GREEN,SA_101488,0,JBS Parade Ground,SA_20301,GREEN1
SA,GREEN,SA_101489,1,Mahatma Gandhi Bus Station,SA_20301,GREEN2
SA,GREEN,SA_101490,0,JBS Parade Ground,SA_20101,GREEN1
SA,GREEN,SA_101491,1,Mahatma Gandhi Bus Station,SA_20101,GREEN2
SA,GREEN,SA_101492,0,JBS Parade Ground,SA_20201,GREEN1
SA,GREEN,SA_101493,1,Mahatma Gandhi Bus Station,SA_20201,GREEN2
SA,GREEN,SA_101494,0,JBS Parade Ground,SA_20301,GREEN1
SA,GREEN,SA_101495,1,Mahatma Gandhi Bus Station,SA_20301,GREEN2
SA,GREEN,SA_101496,0,JBS Parade Ground,SA_20101,GREEN1
SA,GREEN,SA_101497,1,Mahatma Gandhi Bus Station,SA_20101,GREEN2
SA,GREEN,SA_101498,0,JBS Parade Ground,SA_20201,GREEN1
SA,GREEN,SA_101499,1,Mahatma Gandhi Bus Station,SA_20201,GREEN2
SA,GREEN,SA_101500,0,JBS Parade Ground,SA_20301,GREEN1
SA,GREEN,SA_101501,1,Mahatma Gandhi Bus Station,SA_20301,GREEN2
SA,GREEN,SA_101502,0,JBS Parade Ground,SA_20101,GREEN1
SA,GREEN,SA_101503,1,Mahatma Gandhi Bus Station,SA_20101,GREEN2
SA,GREEN,SA_101504,0,JBS Parade Ground,SA_20201,GREEN1
SA,GREEN,SA_101505,1,Mahatma Gandhi Bus Station,SA_20201,GREEN2
SA,GREEN,SA_101506,0,JBS Parade Ground,SA_20301,GREEN1
SA,GREEN,SA_101507,1,Mahatma Gandhi Bus Station,SA_20301,GREEN2
SA,GREEN,SA_101508,0,JBS Parade Ground,SA_20101,GREEN1
SA,GREEN,SA_101509,1,Mahatma Gandhi Bus Station,SA_20101,GREEN2
SA,GREEN,SA_101510,0,JBS Parade Ground,SA_20201,GREEN1
SA,GREEN,SA_101511,1,Mahatma Gandhi Bus Station,SA_20201,GREEN2
SA,GREEN,SA_101512,0,JBS Parade Ground,SA_20301,GREEN1
