route_id,route_name,stop_name,transport_type,timestamp,ridership,traffic_congestion_index
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Mahatma Gandhi Bus Station,Metro,2024-11-21 00:00:00,301,0.36
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Sultan Bazar,Metro,2024-11-21 00:00:00,298,0.26
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Narayanaguda,Metro,2024-11-21 00:00:00,377,0.32
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Chikkadpally,Metro,2024-11-21 00:00:00,149,0.42
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,RTC Cross Roads,Metro,2024-11-21 00:00:00,188,0.11
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Musheerabad,Metro,2024-11-21 00:00:00,71,0.44
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Gandhi Hospital,Metro,2024-11-21 00:00:00,260,0.11
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,Secunderabad West,Metro,2024-11-21 00:00:00,339,0.38
GREEN,JBS Parade Ground - MG Bus Station - JBS Parade Ground - C2,JBS Parade Ground,Metro,2024-11-21 00:00:00,162,0.48
RED,Miyapur - LB Nagar - Miyapur - C1,Dilsukh Nagar,Metro,2024-11-21 00:00:00,232,0.15
RED,Miyapur - LB Nagar - Miyapur - C1,Chaitanyapuri,Metro,2024-11-21 00:00:00,284,0.11
RED,Miyapur - LB Nagar - Miyapur - C1,Victoria Memorial,Metro,2024-11-21 00:00:00,299,0.43
RED,Miyapur - LB Nagar - Miyapur - C1,L. B. Nagar,Metro,2024-11-21 00:00:00,272,0.28
BLUE,Nagole - Raidurg - Nagole - C3,Jubilee Hills Checkpost,Metro,2024-11-21 00:00:00,129,0.44
BLUE,Nagole - Raidurg - Nagole - C3,Road No 5 Jubilee Hills,Metro,2024-11-21 00:00:00,310,0.12
BLUE,Nagole - Raidurg - Nagole - C3,Yusufguda,Metro,2024-11-21 00:00:00,254,0.33
BLUE,Nagole - Raidurg - Nagole - C3,Madhura Nagar,Metro,2024-11-21 00:00:00,154,0.22
BLUE,Nagole - Raidurg - Nagole - C3,Ameerpet,Metro,2024-11-21 00:00:00,101,0.42
BLUE,Nagole - Raidurg - Nagole - C3,Begumpet,Metro,2024-11-21 00:00:00,198,0.37
BLUE,Nagole - Raidurg - Nagole - C3,Prakash Nagar,Metro,2024-11-21 00:00:00,69,0.23
BLUE,Nagole - Raidurg - Nagole - C3,Rasoolpura,Metro,2024-11-21 00:00:00,195,0.28
BLUE,Nagole - Raidurg - Nagole - C3,Paradise,Metro,2024-11-21 00:00:00,359,0.36
BLUE,Nagole - Raidurg - Nagole - C3,Parade Ground,Metro,2024-11-21 00:00:00,227,0.41
BLUE,Nagole - Raidurg - Nagole - C3,Secunderabad East,Metro,2024-11-21 00:00:00,70,0.34
BLUE,Nagole - Raidurg - Nagole - C3,Mettuguda,Metro,2024-11-21 00:00:00,262,0.42
BLUE,Nagole - Raidurg - Nagole - C3,Tarnaka,Metro,2024-11-21 00:00:00,320,0.15
BLUE,Nagole - Raidurg - Nagole - C3,Habsiguda,Metro,2024-11-21 00:00:00,276,0.49
BLUE,Nagole - Raidurg - Nagole - C3,NGRI,Metro,2024-11-21 00:00:00,102,0.35
BLUE,Nagole - Raidurg - Nagole - C3,Stadium,Metro,2024-11-21 00:00:00,317,0.13
BLUE,Nagole - Raidurg - Nagole - C3,Uppal,Metro,2024-11-21 00:00:00,391,0.23
BLUE,Nagole - Raidurg - Nagole - C3,Nagole,Metro,2024-11-21 00:00:00,394,0.4
47100,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,122,0.11
47100,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,103,0.28
47100,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,351,0.45
47100,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,394,0.39
47100,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,176,0.41
47100,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,219,0.19
47100,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,373,0.15
47100,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,193,0.33
47100,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,344,0.26
47100,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,290,0.38
47100,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,311,0.24
47100,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,88,0.37
47100,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,330,0.5
47101,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,311,0.3
47101,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,214,0.38
47101,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,227,0.1
47101,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,201,0.14
47101,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,275,0.31
47101,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,97,0.3
47101,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,205,0.46
47101,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,119,0.4
47101,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,303,0.35
47101,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,271,0.46
47101,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,124,0.48
47101,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,166,0.13
47101,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,148,0.33
47102,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,108,0.3
47102,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,198,0.27
47102,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,93,0.24
47102,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,343,0.18
47102,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,288,0.21
47102,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,365,0.45
47102,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,399,0.28
47102,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,359,0.19
47102,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,296,0.34
47102,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,287,0.48
47102,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,207,0.15
47102,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,224,0.17
47102,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,277,0.37
47103,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,340,0.41
47103,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,361,0.37
47103,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,315,0.33
47103,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,160,0.48
47103,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,144,0.12
47103,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,309,0.42
47103,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,252,0.22
47103,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,216,0.38
47103,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,375,0.44
47103,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,155,0.24
47103,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,82,0.43
47103,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,229,0.18
47103,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,323,0.34
47104,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,147,0.16
47104,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,319,0.45
47104,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,213,0.19
47104,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,142,0.18
47104,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,152,0.49
47104,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,56,0.27
47104,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,204,0.28
47104,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,105,0.19
47104,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,299,0.24
47104,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,290,0.32
47104,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,204,0.3
47104,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,290,0.21
47104,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,369,0.32
47105,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,150,0.41
47105,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,331,0.25
47105,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,89,0.25
47105,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,324,0.5
47105,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,357,0.13
47105,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,335,0.48
47105,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,183,0.41
47105,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,76,0.23
47105,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,88,0.43
47105,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,220,0.12
47105,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,221,0.46
47105,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,269,0.35
47105,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,92,0.46
47106,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,399,0.44
47106,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,51,0.34
47106,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,231,0.21
47106,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,83,0.31
47106,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,204,0.4
47106,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,88,0.43
47106,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,165,0.47
47106,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,141,0.44
47106,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,190,0.18
47106,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,184,0.13
47106,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,88,0.2
47106,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,270,0.29
47106,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,57,0.41
47107,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,367,0.39
47107,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,192,0.24
47107,HYB-LPI,KHAIRATABAD,MMTS_Train,2024-11-21 00:00:00,244,0.11
47107,HYB-LPI,NECKLACE ROAD,MMTS_Train,2024-11-21 00:00:00,302,0.47
47107,HYB-LPI,BEGUMPET,MMTS_Train,2024-11-21 00:00:00,85,0.3
47107,HYB-LPI,NATURE CURE HOSPITAL,MMTS_Train,2024-11-21 00:00:00,198,0.45
47107,HYB-LPI,FATEHNAGAR,MMTS_Train,2024-11-21 00:00:00,316,0.12
47107,HYB-LPI,BHARATNAGAR,MMTS_Train,2024-11-21 00:00:00,206,0.24
47107,HYB-LPI,BORABANDA,MMTS_Train,2024-11-21 00:00:00,289,0.33
47107,HYB-LPI,HITECH CITY,MMTS_Train,2024-11-21 00:00:00,76,0.39
47107,HYB-LPI,HAFIZPETA,MMTS_Train,2024-11-21 00:00:00,140,0.4
47107,HYB-LPI,CHANDANAGAR,MMTS_Train,2024-11-21 00:00:00,398,0.41
47107,HYB-LPI,LINGAMPALLI,MMTS_Train,2024-11-21 00:00:00,303,0.46
47108,HYB-LPI,HYDERABAD,MMTS_Train,2024-11-21 00:00:00,336,0.32
47108,HYB-LPI,LAKDIKAPUL,MMTS_Train,2024-11-21 00:00:00,98,0.32
